"chk_code","module_code","requirement_type","title","description","input_schema","show_if","inherit_from","sync_to_parent","min_responses_required","is_mandatory","display_order","local_vernacular","is_active","entry_ts","updt_ts","entry_by","updt_by","chk_id"
"TRIPARTITE_RATE_VALUATION_COMMITTEE_MINUTES","LAND_SCHEDULE","document","Tripartite Rate Valuation Committee Minutes","Minutes/recommendation of the Tripartite Rate Valuation Committee supporting the proposed Direct Purchase rate.","{}","{""op"": ""eq"", ""field"": ""acq_mode"", ""value"": 6}",NULL,NULL,1,True,130,NULL,True,"2026-08-13 16:05:57.219","2026-08-13 16:05:57.219","system",NULL,"405d5bb9-110c-444d-8307-d04ccdc5c9dd"
"CBA_SECTION_9_REVENUE_PLAN_SCHEDULE","LAND_SCHEDULE","document","Detailed Revenue Plan and Schedule for Section 9 Area","Detailed revenue plan and schedule covering the area proposed for Section 9 declaration.","{}","{""and"": [{""op"": ""eq"", ""field"": ""acq_mode_id"", ""value"": 1}, {""op"": ""eq"", ""field"": ""current_stage_cd"", ""value"": ""SECTION_9""}]}",NULL,NULL,1,True,630,NULL,True,"2026-08-13 16:04:17.474","2026-08-13 16:04:17.474","system",NULL,"42009cd1-2ba8-47c4-84e0-5fbf77d77c1a"
"FOREST_RATE_EVIDENCE","LAND_SCHEDULE","document","Forest Land Rate Evidence","Forest Department demand or other approved supporting document for the proposed Forest land rate.","{}","{""and"": [{""op"": ""in"", ""field"": ""acq_mode"", ""value"": [1, 2, 6]}, {""op"": ""eq"", ""field"": ""has_forest_land"", ""value"": true}]}",NULL,NULL,1,True,90,NULL,True,"2026-08-13 16:05:57.219","2026-08-13 16:05:57.219","system",NULL,"45b76a15-964c-40c6-b3d8-3793e6e59f5d"
"CBA_SECTION_7_AREA_NOT_LEASED_CERTIFICATE","LAND_SCHEDULE","document","Certificate — Area Not Leased for Other Purpose","Certificate confirming that the Section 7 area is not leased for another purpose.","{}","{""and"": [{""op"": ""eq"", ""field"": ""acq_mode_id"", ""value"": 1}, {""op"": ""eq"", ""field"": ""current_stage_cd"", ""value"": ""SECTION_7""}]}",NULL,NULL,1,True,540,NULL,True,"2026-08-13 16:04:17.474","2026-08-13 16:04:17.474","system",NULL,"4ba4ae9c-d648-41c7-b448-e15140611dee"
"CBA_SECTION_11_APPLICATION","LAND_SCHEDULE","document","Application for Section 11 Gazette Notification","Application and supporting proposal submitted for processing of the Section 11 declaration.","{}","{""and"": [{""op"": ""eq"", ""field"": ""acq_mode_id"", ""value"": 1}, {""op"": ""eq"", ""field"": ""current_stage_cd"", ""value"": ""SECTION_11""}]}",NULL,NULL,1,True,710,NULL,True,"2026-08-13 16:04:17.474","2026-08-13 16:04:17.474","system",NULL,"56094ce5-b29e-4915-847f-1d5a298bc05f"
"CBA_SECTION_4_COAL_LIKELY_CERTIFICATE","LAND_SCHEDULE","document","Certificate — Coal Likely to be Found","Certificate supporting that coal is likely to be found in the proposed area.","{}","{""and"": [{""op"": ""eq"", ""field"": ""acq_mode_id"", ""value"": 1}, {""op"": ""eq"", ""field"": ""current_stage_cd"", ""value"": ""SECTION_4""}]}",NULL,NULL,1,True,440,NULL,True,"2026-08-13 16:04:17.474","2026-08-13 16:04:17.474","system",NULL,"5f20ce58-2db3-4b3a-9638-b84ac4796178"
"CBA_SECTION_4_PLAN_SURVEY_REVENUE_CERTIFICATE","LAND_SCHEDULE","document","Certificate — Plan / Schedule Based on Survey of India Toposheet / Revenue Plan","Certificate confirming that the plan and schedule are based on the required survey or revenue records.","{}","{""and"": [{""op"": ""eq"", ""field"": ""acq_mode_id"", ""value"": 1}, {""op"": ""eq"", ""field"": ""current_stage_cd"", ""value"": ""SECTION_4""}]}",NULL,NULL,1,True,460,NULL,True,"2026-08-13 16:04:17.474","2026-08-13 16:04:17.474","system",NULL,"62047eb0-0c8f-498c-9efe-ad4d9658f8b3"
"RFCTLARR_FOREST_COMPENSATION_RATE_SUPPORT","LAND_SCHEDULE","document","Forest Land Compensation Rate Supporting Documents","Documents substantiating the compensation rate / demand considered for Forest land, such as demand from the State Forest Department.","{}","{""and"": [{""op"": ""eq"", ""field"": ""acq_mode_id"", ""value"": 2}, {""op"": ""eq"", ""field"": ""current_stage_cd"", ""value"": ""RFCTLARR_APPROVAL""}, {""op"": ""eq"", ""field"": ""has_forest_land"", ""value"": true}]}",NULL,NULL,1,True,240,NULL,True,"2026-08-13 16:03:02.511","2026-08-13 16:03:02.511","system",NULL,"6c3e3bf1-16c5-47a7-b3fe-1f64ea4c30e1"
"CBA_SECTION_9_COAL_CONTROLLER_NOC","LAND_SCHEDULE","document","Coal Controller No Objection Certificate","No Objection Certificate from the Coal Controller required for Section 9 processing.","{}","{""and"": [{""op"": ""eq"", ""field"": ""acq_mode_id"", ""value"": 1}, {""op"": ""eq"", ""field"": ""current_stage_cd"", ""value"": ""SECTION_9""}]}",NULL,NULL,1,True,640,NULL,True,"2026-08-13 16:04:17.474","2026-08-13 16:04:17.474","system",NULL,"7441912c-e51c-4e04-bd26-7622789ad775"
"CBA_SECTION_7_APPLICATION","LAND_SCHEDULE","document","Application for Section 7 Gazette Notification","Application and supporting proposal submitted for processing of the Section 7 Gazette Notification.","{}","{""and"": [{""op"": ""eq"", ""field"": ""acq_mode_id"", ""value"": 1}, {""op"": ""eq"", ""field"": ""current_stage_cd"", ""value"": ""SECTION_7""}]}",NULL,NULL,1,True,510,NULL,True,"2026-08-13 16:04:17.474","2026-08-13 16:04:17.474","system",NULL,"7a70ecac-da6f-4ff7-b7a3-71bf6f5736d5"
"CBA_SECTION_4_APPLICATION","LAND_SCHEDULE","document","Application for Section 4 Gazette Notification","Application and supporting proposal submitted for processing of the Section 4 Gazette Notification under the CBA Act.","{}","{""and"": [{""op"": ""eq"", ""field"": ""acq_mode_id"", ""value"": 1}, {""op"": ""eq"", ""field"": ""current_stage_cd"", ""value"": ""SECTION_4""}]}",NULL,NULL,1,True,410,NULL,True,"2026-08-13 16:04:17.474","2026-08-13 16:04:17.474","system",NULL,"851aa65d-f4d1-45eb-b6d9-7c4fbc28ae0c"
"APPROVED_PR_SCHEME","LAND_SCHEDULE","document","Approved PR / Scheme / Conceptual Report","Approved PR, Scheme or Conceptual Report supporting the proposed land requirement.","{}","{""op"": ""in"", ""field"": ""acq_mode"", ""value"": [1, 2, 6]}",NULL,NULL,1,True,20,NULL,True,"2026-08-13 16:05:57.219","2026-08-13 16:05:57.219","system",NULL,"88babc0f-7094-4340-8db4-e4ab3e9351ad"
"REGISTRATION_RATE_EVIDENCE","LAND_SCHEDULE","document","Registration Rate Evidence","Government-notified market price or approved supporting evidence used for registration cost calculation.","{}","{""and"": [{""op"": ""in"", ""field"": ""acq_mode"", ""value"": [1, 2, 6]}, {""op"": ""eq"", ""field"": ""has_tenancy_land"", ""value"": true}]}",NULL,NULL,1,True,100,NULL,True,"2026-08-13 16:05:57.219","2026-08-13 16:05:57.219","system",NULL,"94d45784-4bb3-4017-b37c-f1da31e9da2e"
"RFCTLARR_TENANCY_COMPENSATION_RATE_SUPPORT","LAND_SCHEDULE","document","Tenancy Land Compensation Rate Supporting Documents","Documents substantiating the compensation rate considered for Tenancy land, such as agreement with landowners, previous settlement, minutes of meeting, Government certified market value, or comparable recent approved rate.","{}","{""and"": [{""op"": ""eq"", ""field"": ""acq_mode_id"", ""value"": 2}, {""op"": ""eq"", ""field"": ""current_stage_cd"", ""value"": ""RFCTLARR_APPROVAL""}, {""op"": ""eq"", ""field"": ""has_tenancy_land"", ""value"": true}]}",NULL,NULL,1,True,220,NULL,True,"2026-08-13 16:03:02.511","2026-08-13 16:03:02.511","system",NULL,"a178ce75-0ed2-4b47-bf9e-06fb673d5ff8"
"FOREST_CLEARANCE","LAND_SCHEDULE","document","Forest Clearance","Forest clearance where the proposal contains Forest land.","{}","{""and"": [{""op"": ""in"", ""field"": ""acq_mode"", ""value"": [1, 2, 6]}, {""op"": ""eq"", ""field"": ""has_forest_land"", ""value"": true}]}",NULL,NULL,1,True,40,NULL,True,"2026-08-13 16:05:57.219","2026-08-13 16:05:57.219","system",NULL,"a3d49702-7d48-4f43-bdd4-591bc6aaf6bb"
"CBA_SECTION_4_DRAFT_NOTIFICATION","LAND_SCHEDULE","generated_document","Draft Section 4(1) Notification — English & Hindi","System-generated draft Section 4(1) notification prepared from the proposal and land schedule.","{""template_code"": ""CBA_SECTION_4_DRAFT_NOTIFICATION""}","{""and"": [{""op"": ""eq"", ""field"": ""acq_mode_id"", ""value"": 1}, {""op"": ""eq"", ""field"": ""current_stage_cd"", ""value"": ""SECTION_4""}]}",NULL,NULL,1,True,470,NULL,True,"2026-08-13 16:04:17.474","2026-08-13 16:04:17.474","system",NULL,"ab269576-609e-409b-89f8-88137e7ff1a1"
"CBA_SECTION_9_APPLICATION","LAND_SCHEDULE","document","Application for Section 9 Gazette Notification","Application and supporting proposal submitted for processing of the Section 9 Gazette Notification.","{}","{""and"": [{""op"": ""eq"", ""field"": ""acq_mode_id"", ""value"": 1}, {""op"": ""eq"", ""field"": ""current_stage_cd"", ""value"": ""SECTION_9""}]}",NULL,NULL,1,True,610,NULL,True,"2026-08-13 16:04:17.474","2026-08-13 16:04:17.474","system",NULL,"aba0bf1b-77c1-4a07-af7a-2a191065db14"
"FORM_XXII","LAND_SCHEDULE","generated_document","Form-XXII — Area Land Cell Recommendation","System-generated Form-XXII containing proposal details and Area Land Cell recommendation information.","{""template_code"": ""FORM_XXII""}","{""op"": ""in"", ""field"": ""acq_mode"", ""value"": [1, 2, 6]}",NULL,NULL,1,True,150,NULL,True,"2026-08-13 16:05:57.219","2026-08-13 16:05:57.219","system",NULL,"ad26e019-80c2-48c9-9f55-2b8c67fde02a"
"CBA_SECTION_7_DRAFT_NOTIFICATION","LAND_SCHEDULE","generated_document","Draft Section 7(1) Notification — English & Hindi","System-generated draft Section 7(1) notification prepared from the proposal and Section 7 schedule.","{""template_code"": ""CBA_SECTION_7_DRAFT_NOTIFICATION""}","{""and"": [{""op"": ""eq"", ""field"": ""acq_mode_id"", ""value"": 1}, {""op"": ""eq"", ""field"": ""current_stage_cd"", ""value"": ""SECTION_7""}]}",NULL,NULL,1,True,530,NULL,True,"2026-08-13 16:04:17.474","2026-08-13 16:04:17.474","system",NULL,"adedcba7-c7c3-4765-a602-590fa5391f99"
"TENANCY_RATE_EVIDENCE","LAND_SCHEDULE","document","Tenancy Land Rate Evidence","Supporting document substantiating the proposed tenancy land rate.","{}","{""and"": [{""op"": ""in"", ""field"": ""acq_mode"", ""value"": [1, 2, 6]}, {""op"": ""eq"", ""field"": ""has_tenancy_land"", ""value"": true}]}",NULL,NULL,1,True,70,NULL,True,"2026-08-13 16:05:57.219","2026-08-13 16:05:57.219","system",NULL,"b22624f1-1175-468f-a373-a6d6dc0ccde7"
"CBA_SECTION_11_DRAFT_ORDER","LAND_SCHEDULE","generated_document","Draft Section 11(1) Order — English & Hindi","System-generated draft Section 11(1) order prepared according to the applicable prescribed format.","{""template_code"": ""CBA_SECTION_11_DRAFT_ORDER""}","{""and"": [{""op"": ""eq"", ""field"": ""acq_mode_id"", ""value"": 1}, {""op"": ""eq"", ""field"": ""current_stage_cd"", ""value"": ""SECTION_11""}]}",NULL,NULL,1,True,720,NULL,True,"2026-08-13 16:04:17.474","2026-08-13 16:04:17.474","system",NULL,"b4335a5a-905e-40a5-ad1b-a45c309c6ef6"
"CBA_SECTION_7_DETAILED_PLAN_SCHEDULE","LAND_SCHEDULE","document","Detailed Plan with Schedule — Section 7 Area","Detailed plan and schedule covering the area proposed for Section 7 notification.","{}","{""and"": [{""op"": ""eq"", ""field"": ""acq_mode_id"", ""value"": 1}, {""op"": ""eq"", ""field"": ""current_stage_cd"", ""value"": ""SECTION_7""}]}",NULL,NULL,1,True,520,NULL,True,"2026-08-13 16:04:17.474","2026-08-13 16:04:17.474","system",NULL,"b899811a-5b32-449d-bd9d-6c7fd520994a"
"CBA_SECTION_9_DRAFT_NOTIFICATION","LAND_SCHEDULE","generated_document","Draft Section 9(1) Notification — English & Hindi","System-generated draft Section 9(1) declaration prepared from the proposal and Section 9 schedule.","{""template_code"": ""CBA_SECTION_9_DRAFT_NOTIFICATION""}","{""and"": [{""op"": ""eq"", ""field"": ""acq_mode_id"", ""value"": 1}, {""op"": ""eq"", ""field"": ""current_stage_cd"", ""value"": ""SECTION_9""}]}",NULL,NULL,1,True,620,NULL,True,"2026-08-13 16:04:17.474","2026-08-13 16:04:17.474","system",NULL,"beaef491-e5a2-4a43-a353-bdf6a61c7e5d"
"CBA_SECTION_7_STATE_REVENUE_RECORD_CERTIFICATE","LAND_SCHEDULE","document","Certificate — Plan / Schedule Based on State Revenue Records","Certificate confirming that the Section 7 plan and schedule are based on State revenue records.","{}","{""and"": [{""op"": ""eq"", ""field"": ""acq_mode_id"", ""value"": 1}, {""op"": ""eq"", ""field"": ""current_stage_cd"", ""value"": ""SECTION_7""}]}",NULL,NULL,1,True,550,NULL,True,"2026-08-13 16:04:17.474","2026-08-13 16:04:17.474","system",NULL,"c6bb4a64-7e14-4831-b6e5-bbc244d17b1e"
"MUTATION_SUPPORTING_DOCUMENT","LAND_SCHEDULE","document","Mutation Supporting Document","Supporting document required for determining applicable mutation processing cost.","{}","{""op"": ""in"", ""field"": ""acq_mode"", ""value"": [1, 2, 6]}",NULL,NULL,1,True,110,NULL,True,"2026-08-13 16:05:57.219","2026-08-13 16:05:57.219","system",NULL,"d6e8db51-9233-4fd2-9765-3dd20b62bb1f"
"CBA_SECTION_7_WITHIN_SECTION_4_CERTIFICATE","LAND_SCHEDULE","document","Certificate — Section 7 Area Same / Within Section 4 Area","Certificate confirming that the Section 7 area is the same as or lies within the Section 4 notified area.","{}","{""and"": [{""op"": ""eq"", ""field"": ""acq_mode_id"", ""value"": 1}, {""op"": ""eq"", ""field"": ""current_stage_cd"", ""value"": ""SECTION_7""}]}",NULL,NULL,1,True,570,NULL,True,"2026-08-13 16:04:17.474","2026-08-13 16:04:17.474","system",NULL,"e0b5648a-4434-4e4a-95ce-d19397a49943"
"LANDOWNER_TITLE_SEARCH_13_YEARS","LAND_SCHEDULE","document","Landowner Title Search Report — 13 Years","Title search report establishing the landowner title chain for the required period.","{}","{""op"": ""eq"", ""field"": ""acq_mode"", ""value"": 6}",NULL,NULL,1,True,120,NULL,True,"2026-08-13 16:05:57.219","2026-08-13 16:05:57.219","system",NULL,"e80fd700-5672-4cfd-8d74-0297d4f15b27"
"RFCTLARR_GOVERNMENT_PATTA_COMPENSATION_RATE_SUPPORT","LAND_SCHEDULE","document","Government / Patta Land Compensation Rate Supporting Documents","Documents substantiating the compensation or transfer value considered for Government / Patta land, such as Government certified market value or demand from the District Authority.","{}","{""and"": [{""op"": ""eq"", ""field"": ""acq_mode_id"", ""value"": 2}, {""op"": ""eq"", ""field"": ""current_stage_cd"", ""value"": ""RFCTLARR_APPROVAL""}, {""op"": ""eq"", ""field"": ""has_government_or_patta_land"", ""value"": true}]}",NULL,NULL,1,True,230,NULL,True,"2026-08-13 16:03:02.511","2026-08-13 16:03:02.511","system",NULL,"ed231c36-930d-4c97-b490-50bfeefe308f"
"TECHNO_ECONOMIC_REPORT","LAND_SCHEDULE","generated_document","Techno-Economic Report","System-generated Techno-Economic Report based on proposal, land schedule and available financial information.","{""template_code"": ""TECHNO_ECONOMIC_REPORT""}","{""op"": ""in"", ""field"": ""acq_mode"", ""value"": [1, 2, 6]}",NULL,NULL,1,True,50,NULL,True,"2026-08-13 16:05:57.219","2026-08-13 16:05:57.219","system",NULL,"f6d1d41a-0f6d-421b-add0-dd4fddb24683"
"ACQUISITION_COST_CALCULATION","LAND_SCHEDULE","generated_document","Acquisition Cost Calculation","Approximate acquisition cost calculated from land-type-wise area and initial rate per acre. Registration, mutation and other applicable costs are manually entered.","{""template_code"": ""ACQUISITION_COST_CALCULATION""}","{""op"": ""in"", ""field"": ""acq_mode"", ""value"": [1, 2, 6]}",NULL,NULL,1,True,60,NULL,True,"2026-08-13 16:05:57.219","2026-08-13 16:05:57.219","system",NULL,"f70a9e87-31e6-4c25-8614-042f55578e58"
