"id","template_code","sig_permission","workflow_state","placeholders","is_required","display_order","entry_ts","updt_ts","entry_by","updt_by"
"8afbd1ec-b3a6-413f-bec7-18b3c118a220","FORM_VII","form_vii.sign.cross_agm","CrossCollieryVerification","{""label"": ""Adjacent Area AGM / Land Officer (Area B)""}",True,8,"2026-08-06 05:55:01.461","2026-08-06 05:55:01.461","system",NULL
"91fcff7b-ddbb-4d4f-b651-ccd434831506","FORM_VII","form_vii.sign.purchasing_project_agent","UnitSubmitted","{""label"": ""Colliery/Project Agent (Purchasing Mine)"", ""placeholder_key"": ""PurchasingProjectAgentSignature""}",True,4,"2026-08-06 06:44:01.365","2026-08-10 16:36:26.215","system",NULL
"9a51bdeb-9faa-4d71-ba47-1df140936225","FORM_VII","form_vii.sign.adj_land_officer","UnitSubmitted","{""placeholder"": ""{{sig_adj_land_officer}}""}",True,11,"2026-08-05 17:27:21.203","2026-08-05 11:59:48.677","system",NULL
"a9b59e8b-3098-4ac4-af88-093fb75670d6","FORM_VII","form_vii.sign.purchasing_survey_officer","UnitSubmitted","{""label"": ""Surveyor/Survey Officer (Purchasing Mine)"", ""placeholder_key"": ""PurchasingSurveyOfficerSignature""}",True,2,"2026-08-06 06:44:01.357","2026-08-10 16:36:26.205","system",NULL
"c0c34c4a-b942-4b2e-a64a-f6b37a369892","FORM_VII","form_vii.sign.cross_land_clerk","CrossCollieryVerification","{""label"": ""Adjacent Unit Land Clerk (Mine B)""}",True,5,"2026-08-06 05:55:01.445","2026-08-06 05:55:01.445","system",NULL
"ca279dd2-54a4-479a-bdb6-bb428ed4e1c2","FORM_VII","form_vii.sign.purchasing_land_clerk","UnitSubmitted","{""label"": ""Land Clerk/Amin/Rev.Inspector (Purchasing Mine)"", ""placeholder_key"": ""PurchasingLandClerkSignature""}",True,1,"2026-08-06 06:44:01.346","2026-08-10 16:36:26.198","system",NULL
"d385a1c3-b834-4061-ac8b-743b123c8e59","FORM_VII","form_vii.sign.adjacent_project_agent","CrossCollieryVerification","{""label"": ""Colliery/Project Agent (Adjacent Mine)"", ""placeholder_key"": ""AdjacentProjectAgentSignature""}",True,10,"2026-08-06 06:44:01.393","2026-08-10 16:36:26.254","system",NULL
"de889ba5-33fb-4b7b-9ced-39cb61d15b3d","FORM_VII","form_vii.sign.adj_surveyor","UnitSubmitted","{""placeholder"": ""{{sig_adj_surveyor}}""}",True,8,"2026-08-05 17:27:21.203","2026-08-05 11:59:48.589","system",NULL
"ea67a66f-4261-4e24-84ac-5ab060723994","FORM_VII","form_vii.sign.adjacent_area_land_officer","CrossCollieryVerification","{""label"": ""Area Land Dealing Officer (Adjacent Area)"", ""placeholder_key"": ""AdjacentAreaLandOfficerSignature""}",True,11,"2026-08-06 06:44:01.395","2026-08-10 16:36:26.259","system",NULL
"ebc86fc6-bb33-4b5b-b6aa-efae973ad042","FORM_VII","form_vii.sign.acq_surveyor","UnitSubmitted","{""label"": ""Unit Surveyor (Initiating Mine)""}",True,2,"2026-08-05 17:27:21.203","2026-08-06 05:55:01.434","system",NULL
"f023e8da-f8d6-408f-8486-51ca474bb506","FORM_VII","form_vii.sign.purchasing_project_manager","UnitSubmitted","{""label"": ""Colliery/Project Manager (Purchasing Mine)"", ""placeholder_key"": ""PurchasingProjectManagerSignature""}",True,3,"2026-08-06 06:44:01.361","2026-08-10 16:36:26.211","system",NULL
"f65efdd7-9a14-42ef-8f3d-448d91b4075e","FORM_VII","form_vii.sign.adj_agent","UnitSubmitted","{""placeholder"": ""{{sig_adj_agent}}""}",False,10,"2026-08-05 17:27:21.203","2026-08-05 11:59:48.655","system",NULL
